date,city,name,platform,address,neighborhood,food_type,categories,rating,num_ratings,price_range,delivery_fee,delivery_time,min_order,is_promoted,is_new,latitude,longitude,restaurant_url,image_url,source_url,crawl_id
,,800 Burgers 🍔,Just Eat,"Calle Chantada, 16, Madrid, 28029",Madrid,Hamburguesas,Hamburguesas|Americana,4.1,2,,,,,False,False,,,https://www.just-eat.es/restaurants-800-burgers-madrid/menu,"https://just-eat-prod-eu-res.cloudinary.com/image/upload/c_fill,f_auto,q_auto,w_1200,h_630,d_es:cuisines:hamburguesas-5.jpg/v1/es/restaurants/64845.jpg",https://www.just-eat.es/restaurants-800-burgers-madrid/menu,CC-MAIN-2023-23
,,10/18 Pizza,Just Eat,"Calle Mónaco, 17, Las Rozas, 28232",Las Rozas,Pizza,Pizza|Italiana,4.4,323,,,,,False,False,,,https://www.just-eat.es/restaurants-1018pizzalasrozas/menu,"https://just-eat-prod-eu-res.cloudinary.com/image/upload/c_fill,f_auto,q_auto,w_1200,h_630,d_es:cuisines:pizza-5.jpg/v1/es/restaurants/25855.jpg",https://www.just-eat.es/restaurants-1018pizzalasrozas/,CC-MAIN-2023-23
,,100 Montaditos Atienza,Just Eat,"Calle Atienza, 1, Alcalá de Henares, 28805",Alcalá de Henares,Bocadillos/Wraps,Bocadillos/Wraps|Española,4.5,64,,,,,False,False,,,https://www.just-eat.es/restaurants-100-montaditos-atienza-alcala-de-henares/menu,"https://just-eat-prod-eu-res.cloudinary.com/image/upload/c_fill,f_auto,q_auto,w_1200,h_630,d_es:cuisines:bocadillos-wraps-1.jpg/v1/es/restaurants/35511.jpg",https://www.just-eat.es/restaurants-100-montaditos-atienza-alcala-de-henares/menu,CC-MAIN-2023-23
,,Dirty Vegan Burgers by Taster - Cornellà,Just Eat,"Carrer de Cornellà Modern, 62, Cornellà de Llobregat, 08940",Cornellà de Llobregat,Americana,Americana|Hamburguesas,,,,,,,False,False,,,https://www.just-eat.es/restaurants-a-burgers---dirty-vegan-burgers-by-taster-08940/menu,"https://just-eat-prod-eu-res.cloudinary.com/image/upload/c_fill,f_auto,q_auto,w_1200,h_630,d_es:cuisines:americana-6.jpg/v1/es/restaurants/74736.jpg",https://www.just-eat.es/restaurants-a-burgers---dirty-vegan-burgers-by-taster-08940/menu,CC-MAIN-2023-23
,,13 Repulgues Gastronomía Argentina,Just Eat,"Carrer dels Serrans, 20, València, 46003",València,Argentina,Argentina|Empanadas,4.1,9,,,,,False,False,,,https://www.just-eat.es/restaurants-13-repulgues-gastronomia-argentina-46003/menu,"https://just-eat-prod-eu-res.cloudinary.com/image/upload/c_fill,f_auto,q_auto,w_1200,h_630,d_es:cuisines:argentina-9.jpg/v1/es/restaurants/74659.jpg",https://www.just-eat.es/restaurants-13-repulgues-gastronomia-argentina-46003/menu,CC-MAIN-2023-23
,A Coruna,Apodemia,Glovo,,,,,,,,,,,False,False,,,https://glovoapp.com/es/es/a-coruna/,"https://res.cloudinary.com/glovoapp/image/fetch/f_svg,q_auto:low/https://glovoapp.com/images/svg/top-banner-background.svg",https://glovoapp.com/es/es/a-coruna/apodemia-a-coruna/,CC-MAIN-2023-23
,A Coruna,New in,Glovo,,,,,,,,,,,False,False,,,https://glovoapp.com/es/es/a-coruna/apodemia-a-coruna/,"https://res.cloudinary.com/glovoapp/image/fetch/f_svg,q_auto:low/https://glovoapp.com/images/svg/sections-square.svg",https://glovoapp.com/es/es/a-coruna/apodemia-a-coruna/,CC-MAIN-2023-23
,A Coruna,Preguntas frecuentes,Glovo,,,,,,,,,,,False,False,,,,"https://res.cloudinary.com/glovoapp/image/fetch/f_svg,q_auto:low/https://glovoapp.com/images/svg/faq-icon.svg",https://glovoapp.com/es/es/a-coruna/apodemia-a-coruna/,CC-MAIN-2023-23
,A Coruna,Oro,Glovo,,,,,,,,,,,False,False,,,https://glovoapp.com/es/es/a-coruna/apodemia-a-coruna/,"https://res.cloudinary.com/glovoapp/image/fetch/f_svg,q_auto:low/https://glovoapp.com/images/svg/sections-square.svg",https://glovoapp.com/es/es/a-coruna/apodemia-a-coruna/?content=best-sellers-sc.227523444%2Fcollares-c.1250109959,CC-MAIN-2023-23
,Alcala De Henares,Kebab Nazar,Glovo,,,Arabe 34690,,4.75,270,,,,,False,False,,,https://glovoapp.com/es/es/alcala-de-henares/kebab-nazar-alcala-de-henares/,"https://res.cloudinary.com/glovoapp/image/fetch/f_svg,c_pad,q_auto:low,h_179,w_351,b_transparent/https://glovoapp.com/images/svg/bckg-pattern.svg",https://glovoapp.com/es/es/alcala-de-henares/restaurantes_1/arabe_34690/,CC-MAIN-2023-23
,Alcala De Henares,King Doner Kebab,Glovo,,,Arabe 34690,,4.75,76,,,,,False,False,,,https://glovoapp.com/es/es/alcala-de-henares/king-doner-kebab-alcala-de-henares/,"https://res.cloudinary.com/glovoapp/image/fetch/f_svg,c_pad,q_auto:low,h_179,w_351,b_transparent/https://glovoapp.com/images/svg/bckg-pattern.svg",https://glovoapp.com/es/es/alcala-de-henares/restaurantes_1/arabe_34690/,CC-MAIN-2023-23
